file,source_family,column,row_count,blank_count,blank_pct,non_empty_count
CBPFcontributions__20260418_071813_UTC.csv,CBPF,Total Contributions (Local Currency),145,0,0.0,145
ContributionTrends__20260418_071819_UTC.csv,CBPF,Year,381,0,0.0,381
ContributionTrends__20260418_071819_UTC.csv,CBPF,Donor Name,381,0,0.0,381
ContributionTrends__20260418_071819_UTC.csv,CBPF,CBPF Name,381,0,0.0,381
ContributionTrends__20260418_071819_UTC.csv,CBPF,Paid Amount,381,0,0.0,381
ContributionTrends__20260418_071819_UTC.csv,CBPF,Pledged Amount,381,0,0.0,381
ContributionTrends__20260418_071819_UTC.csv,CBPF,Total Contributions,381,0,0.0,381
ContributionTrends__20260418_071819_UTC.csv,CBPF,Paid Amount (Local Currency),381,0,0.0,381
ContributionTrends__20260418_071819_UTC.csv,CBPF,Pledged Amount (Local Currency),381,0,0.0,381
ContributionTrends__20260418_071819_UTC.csv,CBPF,Total Contributions (Local Currency),381,0,0.0,381
ContributionTrends__20260418_071819_UTC.csv,CBPF,Exchange Rate,381,0,0.0,381
ContributionTrends__20260418_071819_UTC.csv,CBPF,Local Currency,381,0,0.0,381
ContributionsFlow__20260418_071825_UTC.csv,CBPF,IsTransfer,145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Year,145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Donor Name,145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,CBPF Name,145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Paid Amount,145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Pledged Amount,145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Total Contributions,145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Local Curency,145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Exchange Rate,145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Paid Amount (Local Currency),145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Pledged Amount (Local Currency),145,0,0.0,145
ContributionsFlow__20260418_071825_UTC.csv,CBPF,Total Contributions (Local Currency),145,0,0.0,145
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,PooledFundId,35,0,0.0,35
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,PooledFundName,35,0,0.0,35
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,AllocationYear,35,0,0.0,35
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,GenderMarkerGroup,35,0,0.0,35
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,GenderMarkerCode,35,0,0.0,35
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,TotalProjects,35,0,0.0,35
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,TotalBeneficiaries,35,0,0.0,35
GenderAgeMarker__20260418_072032_UTC.csv,CBPF,TotalBudget,35,0,0.0,35
SectorsOverview__20260418_071833_UTC.csv,CBPF,Year,97,0,0.0,97
SectorsOverview__20260418_071833_UTC.csv,CBPF,CBPF Name,97,0,0.0,97
SectorsOverview__20260418_071833_UTC.csv,CBPF,Cluster,97,0,0.0,97
SectorsOverview__20260418_071833_UTC.csv,CBPF,Total Allocations,97,0,0.0,97
SectorsOverview__20260418_071833_UTC.csv,CBPF,Targeted People,97,0,0.0,97
SectorsOverview__20260418_071833_UTC.csv,CBPF,Reached People,97,0,0.0,97
cod_population_admin0.csv,COD-PS,ISO3,6722,0,0.0,6722
cod_population_admin0.csv,COD-PS,Country,6722,0,0.0,6722
cod_population_admin0.csv,COD-PS,ADM1_PCODE,6722,6722,100.0,0
cod_population_admin0.csv,COD-PS,ADM1_NAME,6722,6722,100.0,0
cod_population_admin0.csv,COD-PS,ADM2_PCODE,6722,6722,100.0,0
cod_population_admin0.csv,COD-PS,ADM2_NAME,6722,6722,100.0,0
cod_population_admin0.csv,COD-PS,ADM3_PCODE,6722,6722,100.0,0
cod_population_admin0.csv,COD-PS,ADM3_NAME,6722,6722,100.0,0
cod_population_admin0.csv,COD-PS,ADM4_PCODE,6722,6722,100.0,0
cod_population_admin0.csv,COD-PS,ADM4_NAME,6722,6722,100.0,0
cod_population_admin0.csv,COD-PS,Population_group,6722,0,0.0,6722
cod_population_admin0.csv,COD-PS,Gender,6722,0,0.0,6722
cod_population_admin0.csv,COD-PS,Age_range,6722,0,0.0,6722
cod_population_admin0.csv,COD-PS,Age_min,6722,407,6.0547,6315
cod_population_admin0.csv,COD-PS,Age_max,6722,778,11.5739,5944
cod_population_admin0.csv,COD-PS,Population,6722,0,0.0,6722
cod_population_admin0.csv,COD-PS,Reference_year,6722,0,0.0,6722
cod_population_admin0.csv,COD-PS,Source,6722,0,0.0,6722
cod_population_admin0.csv,COD-PS,Contributor,6722,0,0.0,6722
cod_population_admin1.csv,COD-PS,ISO3,91471,0,0.0,91471
cod_population_admin1.csv,COD-PS,Country,91471,0,0.0,91471
cod_population_admin1.csv,COD-PS,ADM1_PCODE,91471,345,0.3772,91126
cod_population_admin1.csv,COD-PS,ADM1_NAME,91471,0,0.0,91471
cod_population_admin1.csv,COD-PS,ADM2_PCODE,91471,91471,100.0,0
