agencyName,continentName,countryName,dateUSGSignature,emergencyTypeName,regionName,totalAmountApproved,year,projectsectors,CIRV - Prev,CIRV - Inc
World Food Programme,Asia,Yemen,2022-12-31,Displacement,Western Asia,3000151,2022,Nutrition,"71,8","-0,03"
World Health Organization,Asia,Yemen,2022-12-31,Displacement,Western Asia,1000884,2022,Nutrition,"71,8","-0,03"
Food and Agriculture Organization,Asia,Yemen,2022-12-31,Displacement,Western Asia,2000000,2022,Agriculture,"71,8","-0,03"
Food and Agriculture Organization,Africa,Madagascar,2023-04-20,Storm,Eastern Africa,1500000,2023,Agriculture,49,"-0,12"
World Health Organization,Africa,Madagascar,2023-04-20,Storm,Eastern Africa,700000,2023,Health; Health,49,"-0,12"
United Nations Population Fund,Africa,Madagascar,2023-04-25,Storm,Eastern Africa,700000,2023,Protection; Health,49,"-0,12"
United Nations Children’s Fund,Africa,Madagascar,2023-04-25,Storm,Eastern Africa,1999950,2023,Education; Protection; Nutrition,49,"-0,12"
World Food Programme,Africa,Madagascar,2023-04-19,Storm,Eastern Africa,2900000,2023,Food Assistance; Nutrition; Common Services,49,"-0,12"
International Organization for Migration,Africa,Madagascar,2023-04-20,Storm,Eastern Africa,700000,2023,Shelter and Non-Food Items; Camp Coordination and Camp Management,49,"-0,12"
International Organization for Migration,Asia,Syrian Arab Republic,2023-04-27,Displacement,Western Asia,3000000,2023,Shelter and Non-Food Items,58,"-0,09"
United Nations High Commissioner for Refugees,Asia,Syrian Arab Republic,2023-04-27,Earthquake,Western Asia,5500000,2023,Shelter and Non-Food Items,58,"-0,09"
United Nations Children’s Fund,Asia,Syrian Arab Republic,2023-05-03,Earthquake,Western Asia,9000000,2023,Water; Sanitation and Hygiene; Protection; Common Services,58,"-0,09"
United Nations Relief and Works Agency,Asia,Syrian Arab Republic,2023-05-03,Earthquake,Western Asia,1000000,2023,Protection; Health; Shelter and Non-Food Items; Multi-Purpose Cash,58,"-0,09"
World Health Organization,Asia,Syrian Arab Republic,2023-05-03,Earthquake,Western Asia,6000000,2023,Health,58,"-0,09"
United Nations Population Fund,Asia,Syrian Arab Republic,2023-05-03,Earthquake,Western Asia,500000,2023,Protection,58,"-0,09"
United Nations Development Programme,Africa,Eritrea,2023-05-05,Drought,Eastern Africa,1500000,2023,Agriculture,46,"-0,21"
United Nations Population Fund,Africa,Eritrea,2023-05-15,Drought,Eastern Africa,502030,2023,Health,46,"-0,21"
United Nations Children’s Fund,Africa,Eritrea,2023-05-05,Drought,Eastern Africa,1000000,2023,Water; Sanitation and Hygiene,46,"-0,21"
World Health Organization,Africa,Eritrea,2023-05-15,Drought,Eastern Africa,500043,2023,Health,46,"-0,21"
Food and Agriculture Organization,Africa,Eritrea,2023-05-05,Drought,Eastern Africa,1500000,2023,Agriculture,46,"-0,21"
Food and Agriculture Organization,Africa,Chad,2023-05-10,Flood,Middle Africa,500000,2023,Agriculture,65,"-0,06"
United Nations High Commissioner for Refugees,Africa,Chad,2023-05-10,Flood,Middle Africa,1100187,2023,Shelter and Non-Food Items; Protection,65,"-0,06"
International Organization for Migration,Africa,Chad,2023-05-15,Flood,Middle Africa,872000,2023,Shelter and Non-Food Items; Food Assistance,65,"-0,06"
United Nations Population Fund,Africa,Chad,2023-05-19,Flood,Middle Africa,800000,2023,Protection; Health,65,"-0,06"
United Nations Children’s Fund,Africa,Chad,2023-05-10,Flood,Middle Africa,1799069,2023,Nutrition; Water; Sanitation and Hygiene; Protection,65,"-0,06"
World Food Programme,Africa,Chad,2023-05-10,Flood,Middle Africa,800096,2023,Common Services,65,"-0,06"
World Food Programme,Africa,Chad,2023-05-12,Flood,Middle Africa,2428856,2023,Food Assistance,65,"-0,06"
World Health Organization,Africa,Chad,2023-05-10,Flood,Middle Africa,700386,2023,Health; Nutrition,65,"-0,06"
Food and Agriculture Organization,Africa,Democratic Republic of the Congo,2023-05-18,Displacement,Middle Africa,1250000,2023,Agriculture,12,"0,25"
International Organization for Migration,Africa,Democratic Republic of the Congo,2023-05-15,Displacement,Middle Africa,2500000,2023,Camp Coordination and Camp Management; Shelter and Non-Food Items; Health,12,"0,25"
United Nations Population Fund,Africa,Democratic Republic of the Congo,2023-05-17,Displacement,Middle Africa,2436002,2023,Protection; Health,12,"0,25"
United Nations Children’s Fund,Africa,Democratic Republic of the Congo,2023-05-19,Displacement,Middle Africa,6473132,2023,Education; Protection; Water; Sanitation and Hygiene; Nutrition; Health,12,"0,25"
World Health Organization,Africa,Democratic Republic of the Congo,2023-05-19,Displacement,Middle Africa,2303373,2023,Health,12,"0,25"
United Nations High Commissioner for Refugees,Africa,Democratic Republic of the Congo,2023-05-18,Displacement,Middle Africa,4824000,2023,Protection; Shelter and Non-Food Items; Camp Coordination and Camp Management,12,"0,25"
World Food Programme,Africa,Democratic Republic of the Congo,2023-05-12,Displacement,Middle Africa,2226288,2023,Food Assistance; Common Services,12,"0,25"
United Nations Children’s Fund,Asia,Pakistan,2023-05-24,Flood,Southern Asia,2332100,2023,Nutrition,38,"0,16"
World Food Programme,Asia,Pakistan,2023-05-30,Flood,Southern Asia,1902123,2023,Nutrition,38,"0,16"
World Health Organization,Asia,Pakistan,2023-05-26,Flood,Southern Asia,1250066,2023,Nutrition,38,"0,16"
United Nations Population Fund,Asia,Pakistan,2023-05-25,Flood,Southern Asia,1000025,2023,Protection,38,"0,16"
World Food Programme,Africa,Republic of the Sudan,2023-05-12,Displacement,Northern Africa,3500293,2023,Common Services,7,"0,00"
World Health Organization,Americas,Honduras,2023-05-31,Economic Disruption,Latin America and the Caribbean,1000000,2023,Health,45,"0,00"
International Organization for Migration,Americas,Honduras,2023-05-27,Economic Disruption,Latin America and the Caribbean,1800000,2023,Shelter and Non-Food Items; Multi-Purpose Cash; Camp Coordination and Camp Management,45,"0,00"
United Nations Children’s Fund,Americas,Honduras,2023-05-30,Economic Disruption,Latin America and the Caribbean,1199852,2023,Nutrition,45,"0,00"
United Nations High Commissioner for Refugees,Americas,Honduras,2023-05-22,Economic Disruption,Latin America and the Caribbean,1500000,2023,Protection,45,"0,00"
United Nations Population Fund,Americas,Honduras,2023-05-31,Economic Disruption,Latin America and the Caribbean,1000000,2023,Protection,45,"0,00"
United Nations Children’s Fund,Africa,Republic of the Sudan,2023-05-18,Displacement,Northern Africa,4000000,2023,Health; Nutrition; Water; Sanitation and Hygiene; Education; Protection,7,"0,00"
World Health Organization,Africa,Republic of the Sudan,2023-05-26,Displacement,Northern Africa,1500000,2023,Health,7,"0,00"
United Nations Children’s Fund,Americas,Colombia,2023-06-14,Violence/Clashes,Latin America and the Caribbean,1293630,2023,Protection; Education; Water; Sanitation and Hygiene; Protection,44,"0,07"
United Nations High Commissioner for Refugees,Americas,Colombia,2023-06-14,Violence/Clashes,Latin America and the Caribbean,1000000,2023,Protection,44,"0,07"
United Nations Population Fund,Americas,Colombia,2023-06-14,Violence/Clashes,Latin America and the Caribbean,609343,2023,Protection; Health,44,"0,07"
United Nations Entity for Gender Equality and the Empowerment of Women,Americas,Colombia,2023-06-19,Violence/Clashes,Latin America and the Caribbean,468000,2023,Protection,44,"0,07"
World Food Programme,Americas,Colombia,2023-06-19,Violence/Clashes,Latin America and the Caribbean,800000,2023,Food Assistance,44,"0,07"
World Health Organization,Americas,Colombia,2023-06-15,Violence/Clashes,Latin America and the Caribbean,1106977,2023,Health,44,"0,07"
Food and Agriculture Organization,Americas,Colombia,2023-06-14,Violence/Clashes,Latin America and the Caribbean,1000000,2023,Agriculture,44,"0,07"
International Organization for Migration,Africa,Republic of the Sudan,2023-05-27,Displacement,Northern Africa,4500000,2023,Shelter and Non-Food Items; Water; Sanitation and Hygiene,7,"0,00"
United Nations Population Fund,Africa,Republic of the Sudan,2023-05-29,Displacement,Northern Africa,1500000,2023,Protection,7,"0,00"
United Nations Office for Project Services,Americas,Colombia,2023-06-15,Violence/Clashes,Latin America and the Caribbean,248000,2023,Protection,44,"0,07"
Food and Agriculture Organization,Africa,Republic of the Sudan,2023-05-29,Displacement,Northern Africa,500000,2023,Agriculture,7,"0,00"
United Nations High Commissioner for Refugees,Africa,Republic of the Sudan,2023-06-02,Displacement,Northern Africa,2585200,2023,Protection,7,"0,00"
International Organization for Migration,Asia,Lebanon,2023-06-15,Economic Disruption,Western Asia,1000000,2023,Health; Protection; Protection,48,"0,13"
United Nations Population Fund,Asia,Lebanon,2023-06-16,Economic Disruption,Western Asia,2000000,2023,Protection; Health,48,"0,13"
United Nations High Commissioner for Refugees,Asia,Lebanon,2023-06-02,Economic Disruption,Western Asia,2000000,2023,Protection,48,"0,13"
United Nations Children’s Fund,Asia,Lebanon,2023-06-15,Economic Disruption,Western Asia,3000000,2023,Water; Sanitation and Hygiene; Nutrition,48,"0,13"
Food and Agriculture Organization,Africa,Ethiopia,2023-06-29,Drought,Eastern Africa,4000000,2023,Agriculture; Multi-Purpose Cash,71,"-0,01"
International Organization for Migration,Africa,Ethiopia,2023-06-29,Drought,Eastern Africa,4000000,2023,Multi-Purpose Cash,71,"-0,01"
World Food Programme,Africa,Ethiopia,2023-06-29,Drought,Eastern Africa,3250000,2023,Nutrition; Common Services,71,"-0,01"
World Health Organization,Africa,Ethiopia,2023-07-03,Drought,Eastern Africa,5750000,2023,Health; Nutrition,74,"0,09"
United Nations Children’s Fund,Africa,Ethiopia,2023-06-29,Drought,Eastern Africa,6000000,2023,Nutrition; Water; Sanitation and Hygiene; Protection,71,"-0,01"
Food and Agriculture Organization,Africa,Kenya,2023-06-19,Drought,Eastern Africa,500000,2023,Agriculture,61,"-0,05"
International Organization for Migration,Africa,Kenya,2023-06-27,Drought,Eastern Africa,1201435,2023,Multi-Purpose Cash,61,"-0,05"
United Nations Population Fund,Africa,Kenya,2023-06-21,Drought,Eastern Africa,800000,2023,Protection; Health,61,"-0,05"
United Nations High Commissioner for Refugees,Africa,Kenya,2023-07-03,Drought,Eastern Africa,1000000,2023,Multi-Sector Refugee Assistance,63,"-0,05"
United Nations Children’s Fund,Africa,Kenya,2023-06-19,Drought,Eastern Africa,1000000,2023,Water; Sanitation and Hygiene,61,"-0,05"
World Food Programme,Africa,Kenya,2023-06-27,Drought,Eastern Africa,3000000,2023,Food Assistance,61,"-0,05"
World Health Organization,Africa,Kenya,2023-06-29,Drought,Eastern Africa,499911,2023,Health,61,"-0,05"
United Nations Population Fund,Asia,occupied Palestinian territory,2023-10-25,Violence/Clashes,Western Asia,700000,2023,Protection,13,"0,00"
United Nations Children’s Fund,Asia,occupied Palestinian territory,2023-10-25,Violence/Clashes,Western Asia,1300000,2023,Water; Sanitation and Hygiene; Protection; Education,13,"0,00"
United Nations Office for Project Services,Asia,occupied Palestinian territory,2023-11-07,Violence/Clashes,Western Asia,500000,2023,Protection,13,"0,00"
World Food Programme,Asia,occupied Palestinian territory,2023-10-25,Violence/Clashes,Western Asia,3000000,2023,Food Assistance,13,"0,00"
World Health Organization,Asia,occupied Palestinian territory,2023-10-25,Violence/Clashes,Western Asia,500000,2023,Health,13,"0,00"
Food and Agriculture Organization,Asia,Yemen,2023-12-05,Displacement,Western Asia,4000000,2023,Agriculture,68,"0,11"
International Organization for Migration,Asia,Yemen,2023-12-05,Displacement,Western Asia,3775000,2023,Shelter and Non-Food Items; Multi-Purpose Cash,68,"0,11"
United Nations Population Fund,Asia,Yemen,2023-12-20,Displacement,Western Asia,3350255,2023,Health; Protection,68,"0,11"
United Nations High Commissioner for Refugees,Asia,Yemen,2023-11-16,Displacement,Western Asia,3025000,2023,Shelter and Non-Food Items,68,"0,11"
United Nations Children’s Fund,Asia,Yemen,2023-12-05,Displacement,Western Asia,2700002,2023,Education; Water; Sanitation and Hygiene,68,"0,11"
World Food Programme,Asia,Yemen,2023-12-05,Displacement,Western Asia,1000000,2023,Food Assistance,68,"0,11"
World Health Organization,Asia,Yemen,2023-12-05,Displacement,Western Asia,2150012,2023,Health,68,"0,11"
International Organization for Migration,Asia,Bangladesh,2023-12-11,Displacement,Southern Asia,1400000,2023,Shelter and Non-Food Items,48,"0,50"
United Nations High Commissioner for Refugees,Asia,Bangladesh,2023-12-05,Displacement,Southern Asia,1200000,2023,Shelter and Non-Food Items,48,"0,50"
World Food Programme,Asia,Bangladesh,2023-12-11,Displacement,Southern Asia,5000000,2023,Food Assistance,48,"0,50"
United Nations Population Fund,Asia,Bangladesh,2023-12-14,Displacement,Southern Asia,400000,2023,Health,48,"0,50"
United Nations Entity for Gender Equality and the Empowerment of Women,Africa,Uganda,2023-12-22,Refugees,Eastern Africa,500001,2023,Protection,53,"0,00"
United Nations High Commissioner for Refugees,Africa,Uganda,2023-12-20,Refugees,Eastern Africa,2100000,2023,Health,53,"0,00"
United Nations Children’s Fund,Africa,Uganda,2023-12-22,Refugees,Eastern Africa,1000000,2023,Nutrition,53,"0,00"
World Food Programme,Africa,Uganda,2023-12-29,Refugees,Eastern Africa,2400000,2023,Food Assistance,53,"0,00"
United Nations Children’s Fund,Africa,Malawi,2023-12-14,Storm,Eastern Africa,2000000,2023,Water; Sanitation and Hygiene; Nutrition; Protection,47,"0,07"
World Food Programme,Africa,Malawi,2023-12-14,Storm,Eastern Africa,2000000,2023,Food Assistance; Common Services,47,"0,07"
Food and Agriculture Organization,Africa,Burkina Faso,2023-12-23,Displacement,Western Africa,750000,2023,Agriculture,65,"0,05"
United Nations High Commissioner for Refugees,Africa,Burkina Faso,2023-12-23,Displacement,Western Africa,4000000,2023,Shelter and Non-Food Items; Camp Coordination and Camp Management; Protection; Protection,65,"0,05"
United Nations Children’s Fund,Africa,Burkina Faso,2023-12-23,Displacement,Western Africa,1500008,2023,Protection; Water; Sanitation and Hygiene; Nutrition,65,"0,05"
World Food Programme,Africa,Burkina Faso,2023-12-23,Displacement,Western Africa,1250000,2023,Food Assistance; Nutrition,65,"0,05"
World Health Organization,Africa,Burkina Faso,2023-12-23,Displacement,Western Africa,1000000,2023,Health,65,"0,05"
United Nations Population Fund,Africa,Burkina Faso,2023-12-23,Displacement,Western Africa,500336,2023,Protection,65,"0,05"
International Organization for Migration,Americas,Haiti,2023-12-26,Multiple Emergencies,Latin America and the Caribbean,3300000,2023,Camp Coordination and Camp Management; Water; Sanitation and Hygiene; Shelter and Non-Food Items,67,"0,00"
World Food Programme,Americas,Haiti,2023-12-28,Multiple Emergencies,Latin America and the Caribbean,3200000,2023,Food Assistance,67,"0,00"
World Health Organization,Americas,Haiti,2023-12-28,Multiple Emergencies,Latin America and the Caribbean,500000,2023,Health,67,"0,00"
United Nations Children’s Fund,Americas,Haiti,2023-12-26,Multiple Emergencies,Latin America and the Caribbean,1000000,2023,Education,67,"0,00"
United Nations High Commissioner for Refugees,Asia,Afghanistan,2023-12-26,Multiple Emergencies,Southern Asia,3000006,2023,Shelter and Non-Food Items; Protection,67,"0,12"
International Organization for Migration,Asia,Afghanistan,2023-12-26,Multiple Emergencies,Southern Asia,1000000,2023,Shelter and Non-Food Items,67,"0,12"
World Food Programme,Africa,Mali,2023-12-22,Multiple Emergencies,Western Africa,1400031,2023,Food Assistance; Nutrition,65,"0,03"
World Health Organization,Africa,Mali,2023-12-22,Multiple Emergencies,Western Africa,1000584,2023,Health,65,"0,03"
United Nations Children’s Fund,Africa,Mali,2023-12-23,Multiple Emergencies,Western Africa,2160385,2023,Protection; Education; Nutrition,65,"0,03"
United Nations High Commissioner for Refugees,Africa,Mali,2023-12-23,Multiple Emergencies,Western Africa,1424000,2023,Education; Protection,65,"0,03"
Food and Agriculture Organization,Africa,Mali,2023-12-22,Multiple Emergencies,Western Africa,1000000,2023,Food Assistance; Agriculture,65,"0,03"
United Nations Children’s Fund,Africa,Mozambique,2023-12-22,Refugees,Eastern Africa,2200000,2023,Education; Protection,55,"0,15"
World Food Programme,Africa,Mozambique,2023-12-22,Refugees,Eastern Africa,1000000,2023,Food Assistance,55,"0,15"
United Nations High Commissioner for Refugees,Africa,Mozambique,2023-12-22,Refugees,Eastern Africa,1150000,2023,Protection; Protection; Protection,55,"0,15"
World Food Programme,Asia,Afghanistan,2023-12-26,Multiple Emergencies,Southern Asia,13000000,2023,Food Assistance,67,"0,12"
Food and Agriculture Organization,Asia,Myanmar,2023-12-21,Multiple Emergencies,South-Eastern Asia,600000,2023,Agriculture,64,"0,07"
International Organization for Migration,Asia,Myanmar,2023-12-26,Multiple Emergencies,South-Eastern Asia,500000,2023,Health,64,"0,07"
United Nations Population Fund,Asia,Myanmar,2023-12-14,Multiple Emergencies,South-Eastern Asia,750000,2023,Health; Protection,64,"0,07"
United Nations High Commissioner for Refugees,Asia,Myanmar,2023-12-21,Multiple Emergencies,South-Eastern Asia,2144611,2023,Protection; Shelter and Non-Food Items,64,"0,07"
Food and Agriculture Organization,Africa,Mozambique,2023-12-22,Refugees,Eastern Africa,1000000,2023,Agriculture,55,"0,15"
United Nations Population Fund,Asia,Afghanistan,2023-12-26,Heat/Cold Wave,Southern Asia,2000011,2023,Protection,67,"0,12"
United Nations Mine Action Service,Asia,Afghanistan,2023-12-26,Heat/Cold Wave,Southern Asia,1000000,2023,Protection,67,"0,12"
United Nations Children’s Fund,Asia,Myanmar,2023-12-21,Multiple Emergencies,South-Eastern Asia,2800000,2023,Education; Protection; Protection; Water; Sanitation and Hygiene; Health,64,"0,07"
World Food Programme,Asia,Myanmar,2023-12-26,Multiple Emergencies,South-Eastern Asia,1700000,2023,Food Assistance,64,"0,07"
World Health Organization,Asia,Myanmar,2023-12-14,Multiple Emergencies,South-Eastern Asia,499972,2023,Health,64,"0,07"
International Organization for Migration,Africa,Cameroon,2023-12-26,Multiple Emergencies,Middle Africa,500000,2023,Shelter and Non-Food Items,68,"0,13"
United Nations Population Fund,Africa,Cameroon,2023-12-26,Multiple Emergencies,Middle Africa,500000,2023,Protection,68,"0,13"
United Nations High Commissioner for Refugees,Africa,Cameroon,2023-12-26,Multiple Emergencies,Middle Africa,2200000,2023,Protection; Shelter and Non-Food Items; Multi-Sector Refugee Assistance,68,"0,13"
United Nations Children’s Fund,Africa,Cameroon,2023-12-26,Multiple Emergencies,Middle Africa,2800000,2023,Water; Sanitation and Hygiene; Nutrition; Protection,68,"0,13"
United Nations Children’s Fund,Africa,Central African Republic,2023-12-26,Multiple Emergencies,Middle Africa,2500000,2023,Nutrition; Protection; Education,66,"-0,12"
United Nations Population Fund,Africa,Central African Republic,2023-12-26,Multiple Emergencies,Middle Africa,1500000,2023,Protection,66,"-0,12"
World Food Programme,Africa,Central African Republic,2023-12-26,Multiple Emergencies,Middle Africa,2500000,2023,Food Assistance; Nutrition,66,"-0,12"
United Nations Population Fund,Africa,Mali,2023-12-22,Displacement,Western Africa,1015000,2023,Health; Protection,65,"0,03"
United Nations Population Fund,Africa,Mozambique,2023-12-22,Refugees,Eastern Africa,1150000,2023,Protection,55,"0,15"
Food and Agriculture Organization,Americas,Venezuela,2023-12-26,Multiple Emergencies,Latin America and the Caribbean,1500000,2023,Agriculture,46,"0,00"
International Organization for Migration,Americas,Venezuela,2023-12-26,Multiple Emergencies,Latin America and the Caribbean,899999,2023,Protection; Shelter and Non-Food Items; Health,46,"0,00"
United Nations High Commissioner for Refugees,Americas,Venezuela,2023-12-28,Multiple Emergencies,Latin America and the Caribbean,1050000,2023,Protection; Shelter and Non-Food Items; Protection; Protection,46,"0,00"
United Nations Children’s Fund,Americas,Venezuela,2023-12-26,Multiple Emergencies,Latin America and the Caribbean,1000000,2023,Health; Nutrition; Protection,46,"0,00"
World Food Programme,Americas,Venezuela,2023-12-26,Multiple Emergencies,Latin America and the Caribbean,1500000,2023,Food Assistance,46,"0,00"
United Nations Population Fund,Americas,Venezuela,2023-12-19,Multiple Emergencies,Latin America and the Caribbean,850003,2023,Health; Protection,46,"0,00"
World Health Organization,Americas,Venezuela,2023-12-22,Multiple Emergencies,Latin America and the Caribbean,1200000,2023,Health; Water; Sanitation and Hygiene,46,"0,00"
United Nations Office for Project Services,Asia,Afghanistan,2023-12-31,Heat/Cold Wave,Southern Asia,612107,2023,Protection,67,"0,12"
United Nations High Commissioner for Refugees,Americas,Haiti,2023-12-31,Multiple Emergencies,Latin America and the Caribbean,289993,2023,Protection,67,"0,00"
United Nations Entity for Gender Equality and the Empowerment of Women,Africa,Uganda,2023-12-31,Refugees,Eastern Africa,500000,2023,Protection,53,"0,00"
International Organization for Migration,Africa,Mozambique,2023-12-31,Refugees,Eastern Africa,300000,2023,Protection,55,"0,15"
United Nations Children’s Fund,Africa,Central African Republic,2023-12-31,Displacement,Middle Africa,500000,2023,Protection,66,"-0,12"
United Nations Population Fund,Americas,Venezuela,2023-12-31,Multiple Emergencies,Latin America and the Caribbean,245000,2023,Protection,46,"0,00"
United Nations High Commissioner for Refugees,Africa,Burkina Faso,2023-12-31,Displacement,Western Africa,641500,2023,Protection,65,"0,05"
World Food Programme,Africa,Cameroon,2023-12-31,Displacement,Middle Africa,349999,2023,Protection,68,"0,13"
United Nations Entity for Gender Equality and the Empowerment of Women,Asia,occupied Palestinian territory,2023-12-31,Violence/Clashes,Western Asia,700000,2023,Protection,13,"0,00"
International Organization for Migration,Asia,Myanmar,2023-12-31,Multiple Emergencies,South-Eastern Asia,400000,2023,Protection,64,"0,07"
International Organization for Migration,Africa,Republic of the Sudan,2024-04-16,Displacement,Northern Africa,3500000,2024,Shelter and Non-Food Items; Water; Sanitation and Hygiene,7,"0,00"
United Nations Population Fund,Africa,Republic of the Sudan,2024-04-16,Displacement,Northern Africa,3500000,2024,Protection; Health,7,"0,00"
United Nations Children’s Fund,Africa,Republic of the Sudan,2024-04-16,Displacement,Northern Africa,3500000,2024,Health; Water; Sanitation and Hygiene,7,"0,00"
World Health Organization,Africa,Republic of the Sudan,2024-04-18,Displacement,Northern Africa,1000000,2024,Health,7,"0,00"
Food and Agriculture Organization,Africa,Republic of the Sudan,2024-04-16,Displacement,Northern Africa,10000000,2024,Agriculture,7,"0,00"
United Nations High Commissioner for Refugees,Africa,Republic of the Sudan,2024-04-16,Displacement,Northern Africa,3500000,2024,Protection; Camp Coordination and Camp Management,7,"0,00"
World Health Organization,Americas,Honduras,2024-05-09,Economic Disruption,Latin America and the Caribbean,992670,2024,Health,56,"0,00"
World Food Programme,Americas,Honduras,2024-05-09,Economic Disruption,Latin America and the Caribbean,1500000,2024,Food Assistance,56,"0,00"
United Nations Children’s Fund,Americas,Honduras,2024-05-07,Economic Disruption,Latin America and the Caribbean,1500000,2024,Nutrition; Water; Sanitation and Hygiene,56,"0,00"
United Nations High Commissioner for Refugees,Americas,Honduras,2024-05-13,Economic Disruption,Latin America and the Caribbean,1000000,2024,Protection,56,"0,00"
International Organization for Migration,Americas,Honduras,2024-05-08,Economic Disruption,Latin America and the Caribbean,1000000,2024,Camp Coordination and Camp Management; Protection; Shelter and Non-Food Items,56,"0,00"
Food and Agriculture Organization,Africa,Democratic Republic of the Congo,2024-05-06,Displacement,Middle Africa,2006421,2024,Agriculture,14,"-0,13"
International Organization for Migration,Africa,Democratic Republic of the Congo,2024-05-06,Displacement,Middle Africa,2500000,2024,Camp Coordination and Camp Management; Shelter and Non-Food Items,14,"-0,13"
United Nations Population Fund,Africa,Democratic Republic of the Congo,2024-05-09,Displacement,Middle Africa,1500001,2024,Protection,14,"-0,13"
United Nations Children’s Fund,Africa,Democratic Republic of the Congo,2024-05-06,Displacement,Middle Africa,4452540,2024,Protection; Water; Sanitation and Hygiene,14,"-0,13"
United Nations High Commissioner for Refugees,Africa,Democratic Republic of the Congo,2024-05-30,Displacement,Middle Africa,5500000,2024,Shelter and Non-Food Items; Protection; Camp Coordination and Camp Management,14,"-0,13"
World Food Programme,Africa,Democratic Republic of the Congo,2024-05-06,Displacement,Middle Africa,4000000,2024,Food Assistance; Common Services; Common Services,14,"-0,13"
International Organization for Migration,Asia,Lebanon,2024-05-29,Displacement,Western Asia,700000,2024,Health; Protection; Protection; Common Services,45,"0,26"
United Nations High Commissioner for Refugees,Asia,Lebanon,2024-05-22,Displacement,Western Asia,2200001,2024,Protection; Multi-Purpose Cash; Shelter and Non-Food Items; Health,45,"0,26"
United Nations Children’s Fund,Asia,Lebanon,2024-05-22,Displacement,Western Asia,2200000,2024,Water; Sanitation and Hygiene; Nutrition; Protection,45,"0,26"
World Food Programme,Asia,Lebanon,2024-05-22,Displacement,Western Asia,2600000,2024,Multi-Purpose Cash,45,"0,26"
World Health Organization,Asia,Lebanon,2024-06-18,Displacement,Western Asia,1300000,2024,Health,45,"0,26"
World Health Organization,Africa,Chad,2024-06-04,Displacement,Middle Africa,1999236,2024,Health,63,"0,02"
World Food Programme,Africa,Chad,2024-06-11,Displacement,Middle Africa,1000000,2024,Common Services,63,"0,02"
United Nations Children’s Fund,Africa,Chad,2024-06-03,Displacement,Middle Africa,5000000,2024,Nutrition; Water; Sanitation and Hygiene,63,"0,02"
World Food Programme,Africa,Chad,2024-06-25,Displacement,Middle Africa,5000000,2024,Food Assistance,63,"0,02"
Food and Agriculture Organization,Africa,Chad,2024-06-06,Displacement,Middle Africa,2000000,2024,Agriculture,63,"0,02"
Food and Agriculture Organization,Africa,Niger,2024-06-05,Displacement,Western Africa,1100000,2024,Agriculture,57,"-0,14"
International Organization for Migration,Africa,Niger,2024-05-30,Displacement,Western Africa,2000000,2024,Shelter and Non-Food Items; Water; Sanitation and Hygiene,57,"-0,14"
United Nations Population Fund,Africa,Niger,2024-05-31,Displacement,Western Africa,600000,2024,Protection,57,"-0,14"
United Nations Children’s Fund,Africa,Niger,2024-05-30,Displacement,Western Africa,1350000,2024,Nutrition; Protection,57,"-0,14"
World Food Programme,Africa,Niger,2024-06-11,Displacement,Western Africa,3826451,2024,Food Assistance; Nutrition; Common Services,57,"-0,14"
United Nations High Commissioner for Refugees,Africa,Niger,2024-07-16,Displacement,Western Africa,800009,2024,Protection,71,"0,03"
United Nations Entity for Gender Equality and the Empowerment of Women,Africa,Niger,2024-06-05,Displacement,Western Africa,300000,2024,Agriculture,57,"-0,14"
United Nations Children’s Fund,Africa,Chad,2024-07-11,Displacement,Middle Africa,400000,2024,Protection,66,"0,02"
United Nations Children’s Fund,Africa,Republic of the Sudan,2024-08-19,Displacement,Northern Africa,1212229,2024,Protection,7,"0,00"
United Nations Children’s Fund,Africa,Democratic Republic of the Congo,2024-08-14,Displacement,Middle Africa,750000,2024,Protection,15,"-0,07"
United Nations High Commissioner for Refugees,Africa,Niger,2024-08-12,Displacement,Western Africa,600000,2024,Protection,71,"0,03"
United Nations Children’s Fund,Americas,Honduras,2024-08-06,Economic Disruption,Latin America and the Caribbean,400000,2024,Protection,48,"0,04"
Food and Agriculture Organization,Asia,Syrian Arab Republic,2024-08-06,Violence/Clashes,Western Asia,2000000,2024,Agriculture,64,"0,23"
World Food Programme,Asia,Syrian Arab Republic,2024-08-12,Violence/Clashes,Western Asia,2000000,2024,Food Assistance,64,"0,23"
World Health Organization,Asia,Syrian Arab Republic,2024-08-06,Violence/Clashes,Western Asia,5500000,2024,Health,64,"0,23"
United Nations Children’s Fund,Asia,Syrian Arab Republic,2024-08-14,Violence/Clashes,Western Asia,10500000,2024,Nutrition; Water; Sanitation and Hygiene,64,"0,23"
United Nations Population Fund,Asia,Syrian Arab Republic,2024-08-20,Violence/Clashes,Western Asia,650000,2024,Protection,64,"0,23"
World Food Programme,Africa,Burundi,2024-12-31,Flood,Eastern Africa,"2000197,8",2024,Food Assistance,48,"0,06"
United Nations High Commissioner for Refugees,Africa,Burundi,2024-12-31,Flood,Eastern Africa,"1493688,64",2024,Shelter and Non-Food Items,48,"0,06"
World Health Organization,Africa,Burundi,2024-12-27,Flood,Eastern Africa,499048,2024,Health,48,"0,06"
United Nations Entity for Gender Equality and the Empowerment of Women,Africa,Burundi,2024-12-23,Flood,Eastern Africa,"500000,04",2024,Protection,48,"0,06"
