agencyName,continentName,countryName,dateUSGSignature,emergencyTypeName,regionName,totalAmountApproved,year,projectsectors,CIRV - Prev,CIRV - Inc
United Nations Children’s Fund,Americas,Honduras,2020-03-31,Drought,Latin America and the Caribbean,1250039,2020,Protection; Water; Sanitation and Hygiene,"34,8","0,14"
World Food Programme,Americas,Honduras,2020-03-26,Drought,Latin America and the Caribbean,2050000,2020,Food Assistance,"34,8","0,14"
United Nations Population Fund,Asia,Jordan,2020-03-06,Displacement,Western Asia,301191,2020,Protection,26,"0,31"
World Health Organization,Americas,Honduras,2020-03-12,Drought,Latin America and the Caribbean,700000,2020,Health,"34,8","0,14"
United Nations Population Fund,Asia,Jordan,2020-03-06,Displacement,Western Asia,399979,2020,Health,26,"0,31"
Food and Agriculture Organization,Americas,Haiti,2020-03-12,Economic Disruption,Latin America and the Caribbean,1250000,2020,Agriculture,"57,3","0,23"
World Food Programme,Americas,Haiti,2020-03-12,Economic Disruption,Latin America and the Caribbean,1249881,2020,Food Assistance,"57,3","0,23"
World Health Organization,Americas,Haiti,2020-03-12,Economic Disruption,Latin America and the Caribbean,800126,2020,Health,"57,3","0,23"
United Nations Children’s Fund,Americas,Guatemala,2020-03-31,Drought,Latin America and the Caribbean,996545,2020,Nutrition,"37,9","-0,05"
United Nations Children’s Fund,Americas,Guatemala,2020-03-18,Drought,Latin America and the Caribbean,250000,2020,Water; Sanitation and Hygiene,"37,9","-0,05"
Food and Agriculture Organization,Americas,Guatemala,2020-03-23,Drought,Latin America and the Caribbean,600000,2020,Agriculture,"37,9","-0,05"
United Nations Population Fund,Americas,Guatemala,2020-03-23,Drought,Latin America and the Caribbean,199997,2020,Health,"37,9","-0,05"
World Health Organization,Americas,Guatemala,2020-03-30,Drought,Latin America and the Caribbean,798270,2020,Health,"37,9","-0,05"
United Nations Entity for Gender Equality and the Empowerment of Women,Americas,Guatemala,2020-03-26,Drought,Latin America and the Caribbean,150078,2020,Protection,"37,9","-0,05"
United Nations Children’s Fund,Asia,Syrian Arab Republic,2020-03-18,Displacement,Western Asia,9183202,2020,Education; Nutrition; Protection; Water; Sanitation and Hygiene,"71,3","-0,10"
Food and Agriculture Organization,Asia,Syrian Arab Republic,2020-03-16,Displacement,Western Asia,3504124,2020,Agriculture,"71,3","-0,10"
United Nations High Commissioner for Refugees,Asia,Syrian Arab Republic,2020-03-16,Displacement,Western Asia,4000000,2020,Shelter and Non-Food Items,"71,3","-0,10"
United Nations Development Programme,Asia,Syrian Arab Republic,2020-03-12,Displacement,Western Asia,2000000,2020,Early Recovery,"71,3","-0,10"
World Food Programme,Asia,Syrian Arab Republic,2020-03-16,Displacement,Western Asia,3500000,2020,Agriculture,"71,3","-0,10"
World Health Organization,Asia,Syrian Arab Republic,2020-03-13,Displacement,Western Asia,2700001,2020,Health,"71,3","-0,10"
United Nations Children’s Fund,Americas,Haiti,2020-03-12,Economic Disruption,Latin America and the Caribbean,2000002,2020,Education; Protection; Health,"57,3","0,23"
United Nations Population Fund,Americas,Haiti,2020-03-12,Economic Disruption,Latin America and the Caribbean,1699396,2020,Health; Protection,"57,3","0,23"
World Food Programme,Americas,Guatemala,2020-04-03,Drought,Latin America and the Caribbean,1998787,2020,Food Assistance,"37,9","-0,05"
Food and Agriculture Organization,Africa,Niger,2020-03-23,Displacement,Western Africa,1099350,2020,Agriculture,"51,9","0,04"
United Nations Population Fund,Africa,Niger,2020-03-23,Displacement,Western Africa,699994,2020,Protection,"51,9","0,04"
United Nations High Commissioner for Refugees,Africa,Niger,2020-03-30,Displacement,Western Africa,1400004,2020,Protection; Multi-Sector Refugee Assistance,"51,9","0,04"
International Organization for Migration,Africa,Niger,2020-03-20,Displacement,Western Africa,1100000,2020,Shelter and Non-Food Items,"51,9","0,04"
World Food Programme,Africa,Niger,2020-03-24,Displacement,Western Africa,2500000,2020,Food Assistance; Nutrition,"51,9","0,04"
World Food Programme,Africa,Niger,2020-03-26,Displacement,Western Africa,951697,2020,Common Services,"51,9","0,04"
World Health Organization,Africa,Niger,2020-03-30,Displacement,Western Africa,999997,2020,Health,"51,9","0,04"
United Nations Children’s Fund,Africa,Niger,2020-03-30,Displacement,Western Africa,2200329,2020,Nutrition; Education; Protection; Water; Sanitation and Hygiene,"51,9","0,04"
United Nations Children’s Fund,Asia,Democratic People's Republic of Korea,2020-06-04,Economic Disruption,Eastern Asia,699887,2020,Health,"20,3","-0,46"
World Health Organization,Asia,Democratic People's Republic of Korea,2020-06-04,Economic Disruption,Eastern Asia,499733,2020,Health,"20,3","-0,46"
World Food Programme,Asia,Democratic People's Republic of Korea,2020-06-04,Economic Disruption,Eastern Asia,1900000,2020,Nutrition; Food Assistance,"20,3","-0,46"
United Nations Population Fund,Asia,Democratic People's Republic of Korea,2020-06-04,Economic Disruption,Eastern Asia,700069,2020,Health,"20,3","-0,46"
Food and Agriculture Organization,Asia,Democratic People's Republic of Korea,2020-06-04,Economic Disruption,Eastern Asia,700000,2020,Agriculture,"20,3","-0,46"
United Nations Children’s Fund,Asia,Democratic People's Republic of Korea,2020-06-04,Economic Disruption,Eastern Asia,500000,2020,Water; Sanitation and Hygiene,"20,3","-0,46"
Food and Agriculture Organization,Africa,Democratic Republic of the Congo,2020-03-31,Displacement,Middle Africa,1000000,2020,Agriculture,"20,3","-0,46"
United Nations Population Fund,Africa,Democratic Republic of the Congo,2020-04-09,Displacement,Middle Africa,3684988,2020,Protection; Health,"20,3","-0,46"
International Organization for Migration,Africa,Democratic Republic of the Congo,2020-03-31,Displacement,Middle Africa,2561352,2020,Shelter and Non-Food Items; Water; Sanitation and Hygiene,"20,3","-0,46"
United Nations High Commissioner for Refugees,Africa,Democratic Republic of the Congo,2020-04-14,Displacement,Middle Africa,5429385,2020,Protection; Shelter and Non-Food Items; Protection,"20,3","-0,46"
United Nations High Commissioner for Refugees,Africa,Democratic Republic of the Congo,2020-04-01,Displacement,Middle Africa,900023,2020,Multi-Sector Refugee Assistance,"20,3","-0,46"
United Nations Children’s Fund,Africa,Democratic Republic of the Congo,2020-04-06,Displacement,Middle Africa,8703931,2020,Nutrition; Water; Sanitation and Hygiene; Education; Protection; Shelter and Non-Food Items,"20,3","-0,46"
World Food Programme,Africa,Democratic Republic of the Congo,2020-03-30,Displacement,Middle Africa,6500386,2020,Common Services; Food Assistance,"20,3","-0,46"
World Health Organization,Africa,Democratic Republic of the Congo,2020-03-30,Displacement,Middle Africa,1203825,2020,Health,"20,3","-0,46"
United Nations Children’s Fund,Asia,Bangladesh,2020-08-21,Displacement,Southern Asia,3494543,2020,Education,"50,3","0,08"
United Nations High Commissioner for Refugees,Asia,Bangladesh,2020-08-28,Displacement,Southern Asia,1395509,2020,Education,"50,3","0,08"
Food and Agriculture Organization,Africa,Mozambique,2020-10-21,Displacement,Eastern Africa,700000,2020,Agriculture,"49,9","-0,04"
International Organization for Migration,Africa,Mozambique,2020-10-27,Displacement,Eastern Africa,1300000,2020,Shelter and Non-Food Items; Camp Coordination and Camp Management; Protection; Health,"49,9","-0,04"
United Nations High Commissioner for Refugees,Africa,Mozambique,2020-10-29,Displacement,Eastern Africa,775001,2020,Protection; Shelter and Non-Food Items; Camp Coordination and Camp Management,"49,9","-0,04"
World Health Organization,Africa,Mozambique,2020-10-27,Cholera,Eastern Africa,250061,2020,Health,"49,9","-0,04"
World Food Programme,Africa,Mozambique,2020-10-21,Displacement,Eastern Africa,1499766,2020,Food Assistance,"49,9","-0,04"
United Nations Children’s Fund,Africa,Mozambique,2020-10-21,Displacement,Eastern Africa,1824999,2020,Education; Protection; Health; Water; Sanitation and Hygiene,"49,9","-0,04"
United Nations Population Fund,Africa,Mozambique,2020-10-21,Displacement,Eastern Africa,650061,2020,Health; Protection,"49,9","-0,04"
United Nations Children’s Fund,Asia,Pakistan,2020-10-20,Drought,Southern Asia,2200000,2020,Nutrition,"56,1","-0,17"
United Nations Population Fund,Asia,Pakistan,2020-10-20,Drought,Southern Asia,890001,2020,Health; Protection,"56,1","-0,17"
World Food Programme,Asia,Pakistan,2020-10-23,Drought,Southern Asia,2063958,2020,Nutrition,"56,1","-0,17"
United Nations Entity for Gender Equality and the Empowerment of Women,Asia,Pakistan,2020-10-20,Drought,Southern Asia,175001,2020,Protection,"56,1","-0,17"
World Health Organization,Asia,Pakistan,2020-11-10,Drought,Southern Asia,645314,2020,Protection; Nutrition,"56,1","-0,17"
United Nations Population Fund,Asia,Yemen,2020-11-05,Violence/Clashes,Western Asia,9999995,2020,Health,"76,1","0,00"
United Nations Children’s Fund,Asia,Yemen,2020-11-05,Violence/Clashes,Western Asia,15999941,2020,Nutrition; Water; Sanitation and Hygiene,"76,1","0,00"
World Health Organization,Asia,Yemen,2020-11-05,Violence/Clashes,Western Asia,9000001,2020,Health; Nutrition,"76,1","0,00"
United Nations Children’s Fund,Africa,Burundi,2020-11-16,Displacement,Eastern Africa,950000,2020,Water; Sanitation and Hygiene; Education; Protection,"58,5","-0,05"
United Nations High Commissioner for Refugees,Africa,Burundi,2020-11-16,Displacement,Eastern Africa,1200231,2020,Shelter and Non-Food Items; Common Services; Multi-Purpose Cash,"58,5","-0,05"
World Food Programme,Africa,Burundi,2020-11-12,Displacement,Eastern Africa,1500000,2020,Food Assistance,"58,5","-0,05"
International Organization for Migration,Africa,Burundi,2020-11-17,Displacement,Eastern Africa,650000,2020,Shelter and Non-Food Items; Camp Coordination and Camp Management,"58,5","-0,05"
United Nations Population Fund,Africa,Burundi,2020-11-12,Displacement,Eastern Africa,700000,2020,Protection,"58,5","-0,05"
Food and Agriculture Organization,Asia,Afghanistan,2020-10-29,Violence/Clashes,Southern Asia,5000000,2020,Agriculture,"70,5","0,02"
International Organization for Migration,Asia,Afghanistan,2020-10-29,Violence/Clashes,Southern Asia,500000,2020,Health,"70,5","0,02"
United Nations Population Fund,Asia,Afghanistan,2020-10-29,Violence/Clashes,Southern Asia,1000000,2020,Protection,"70,5","0,02"
United Nations Children’s Fund,Asia,Afghanistan,2020-10-30,Violence/Clashes,Southern Asia,2875000,2020,Nutrition; Water; Sanitation and Hygiene,"70,5","0,02"
World Food Programme,Asia,Afghanistan,2020-10-30,Violence/Clashes,Southern Asia,1625000,2020,Nutrition,"70,5","0,02"
World Health Organization,Asia,Afghanistan,2020-10-30,Violence/Clashes,Southern Asia,1999965,2020,Health; Nutrition; Water; Sanitation and Hygiene,"70,5","0,02"
United Nations Population Fund,Africa,Uganda,2020-11-19,Displacement,Eastern Africa,699284,2020,Health; Protection,"48,8","-0,11"
