ISO3,Year,Round,avg_tone,crisis_article_volume,neg_event_count,avg_goldstein,cni_normalized
SYR,2012,I,-4.92390331244404,16,2,-10.0,49.412310010069056
SYR,2012,II,-1.8165873559964016,335,6,-7.083333333333333,34.42437278240741
SYR,2013,I,-3.27318173569655,62,3,-3.6666666666666665,41.450161416424756
SYR,2013,II,-6.13535855536017,260,2,-4.6,55.25568589763292
SYR,2014,I,-5.56701030927835,5,1,-8.0,52.51429494958646
SYR,2014,II,-3.55626026976571,37,4,-4.0,42.81557238801373
SYR,2021,I,-5.234201694836422,414,38,-7.257894736842106,50.9090141567754
SYR,2021,II,-4.367784444429847,112,19,-5.368421052631579,46.7299066749271
SYR,2022,I,-5.503972180211672,35547,4083,-6.684447710017144,52.21023461756899
SYR,2022,II,-5.367151864369148,28286,3443,-6.536741214057508,51.55029068716131
SYR,2023,I,-4.768391569198433,56499,4705,-6.2934750265674815,48.66220919039122
SYR,2023,II,-5.777032276328009,39374,4222,-6.835243960208432,53.52732230267511
SYR,2024,I,-5.92942337466478,35219,4212,-7.264838556505223,54.26237089378687
SYR,2024,II,-5.214389866996165,133172,8504,-6.661641580432738,50.813453088574775
TCD,2021,I,-5.989920060285111,106,6,-7.5,54.554172737972586
TCD,2021,II,-5.3923885857775975,79,13,-8.415384615384616,51.67201837806991
TCD,2022,I,-5.72684885228122,2147,367,-5.885013623978202,53.28526580760846
TCD,2022,II,-6.300235298425309,6365,594,-5.7638047138047135,56.050958187286625
TCD,2023,I,-5.383284660836816,7410,782,-6.241304347826087,51.628106185859565
TCD,2023,II,-5.446039052205143,7451,679,-6.154491899852724,51.93079792746922
TCD,2024,I,-5.569539126211242,11850,820,-6.066097560975609,52.52649253424848
TCD,2024,II,-4.798447770326417,5563,472,-6.083686440677966,48.807183329526794
UGA,2013,II,-5.01193317422435,2,2,-2.0,49.83691634589574
UGA,2021,I,-4.745160309346219,120,23,-6.121739130434783,48.55015471338769
UGA,2021,II,-4.559644678975157,175,16,-6.90625,47.65533208777665
UGA,2022,I,-4.3950233004487025,11643,1248,-5.3895032051282055,46.86129153243307
UGA,2022,II,-4.855362439504354,10021,1257,-5.478758949880668,49.08170754944141
UGA,2023,I,-4.515632785665463,13630,1683,-5.425609031491384,47.44304357143589
UGA,2023,II,-4.458956889802533,11170,1492,-5.277479892761394,47.16967105913874
UGA,2024,I,-4.478785285976749,11416,1323,-5.127966742252457,47.26531204362496
UGA,2024,II,-4.899795936678949,10697,1472,-5.060597826086957,49.296029644713514
VEN,2014,II,-5.126696681831588,134,7,-4.857142857142857,50.39047069059457
VEN,2021,I,-2.9342599433810057,64,12,-6.866666666666667,39.81539410614479
VEN,2021,II,-3.61805550576782,9,3,-4.666666666666667,43.11363770584738
VEN,2022,I,-4.143007225329041,10652,1042,-4.87936660268714,45.645708319397556
VEN,2022,II,-4.407711856415271,17295,1398,-5.307367668097282,46.92249396018813
VEN,2023,I,-4.639182807058434,11847,1343,-5.540878629932986,48.038979096200194
VEN,2023,II,-3.8561640047702355,12000,1579,-4.945408486383787,44.26213862639774
VEN,2024,I,-5.715355678036803,21163,1994,-5.406920762286861,53.22982922615479
VEN,2024,II,-5.949449565443864,41793,3322,-4.940547862733293,54.358965927736755
YEM,2012,II,-6.2161370139025,108,2,-6.5,55.64531555967855
YEM,2021,I,-3.848114404976562,351,24,-9.004166666666666,44.22331190323654
YEM,2021,II,-8.169833231800197,90,14,-8.214285714285714,65.0688427085709
YEM,2022,I,-5.4699716557443905,23727,1616,-6.641522277227724,52.04623529031495
YEM,2022,II,-5.141256915260242,7989,827,-6.476420798065297,50.46070103334293
YEM,2023,I,-5.057920491072515,7275,800,-6.610875,50.058733189708704
YEM,2023,II,-5.52329676035958,17806,1652,-7.234382566585957,52.30344547808892
YEM,2024,I,-4.844247026646969,35645,3095,-7.777479806138934,49.028093075567156
YEM,2024,II,-5.136504437238582,21974,1734,-7.795847750865052,50.43777776346536
